step_num,-gneE0,-gneE1,-gneE2,-gneE3
587,928.0,32.0,939.0,44.0
588,952.0,35.0,963.0,45.0
589,976.0,40.0,987.0,53.0
590,1000.0,44.0,1011.0,54.0
591,1024.0,50.0,1035.0,61.0
592,1048.0,56.0,1059.0,66.0
593,1072.0,63.0,1083.0,72.0
594,1096.0,70.0,1107.0,77.0
595,1120.0,77.0,1131.0,84.0
596,1144.0,86.0,1155.0,94.0
597,1168.0,93.0,1179.0,100.0
598,1192.0,101.0,1203.0,104.0
599,1216.0,109.0,1227.0,114.0
600,1150.0,118.0,1166.0,121.0
